NumRuns,ArtAType,ArtAMainstat,HP_f_A,AK_f_A,DF_f_A,HP_p_A,AK_p_A,DF_p_A,ER_p_A,EM_f_A,CR_p_A,CD_p_A,ArtAType,ArtAMainstat,HP_f_B,AK_f_B,DF_f_B,HP_p_B,AK_p_B,DF_p_B,ER_p_B,EM_f_B,CR_p_B,CD_p_B
1,Circlet,DF_p,836,0,0,0,10,0,6,0,6,0,Circlet,HP_p,0,0,16,0,0,7,0,0,10,19
4,Circlet,HB_p,956,19,0,5,11,0,0,0,0,0,Circlet,AK_p,0,51,42,0,0,0,0,19,7,0
1,Circlet,HB_p,0,41,56,0,10,0,6,0,0,0,Circlet,AK_p,269,49,0,9,0,0,0,0,7,0
1,Circlet,AK_p,0,51,37,0,0,6,11,0,0,0,Circlet,AK_p,777,0,0,5,0,0,0,40,0,15
1,Circlet,CR_p,0,0,0,10,0,12,5,61,0,0,Circlet,AK_p,0,0,44,0,0,5,0,37,10,0
4,Circlet,AK_p,0,0,16,0,0,0,11,56,7,0,Circlet,HP_p,0,0,0,0,9,7,0,42,10,0
248,Circlet,HP_p,0,19,35,0,0,0,0,0,14,5,Circlet,HB_p,0,19,16,0,0,0,0,0,9,19
20,Circlet,CR_p,538,0,0,10,4,0,0,58,0,0,Circlet,AK_p,0,0,39,0,0,26,6,0,7,0
17,Circlet,CR_p,0,35,65,0,5,0,0,0,0,12,Circlet,HB_p,239,37,0,0,0,0,0,65,10,0
54,Circlet,DF_p,717,0,42,0,0,0,6,42,0,0,Circlet,HB_p,0,0,21,0,16,20,10,0,0,0
12,Circlet,HB_p,0,37,37,0,21,0,0,23,0,0,Circlet,HP_p,508,19,58,0,0,0,0,0,10,0
39,Circlet,CD_p,0,19,0,0,0,0,16,54,4,0,Circlet,DF_p,538,66,0,5,0,0,0,0,0,13
5,Circlet,DF_p,747,0,56,0,10,0,0,0,3,0,Circlet,HP_p,299,31,0,0,15,0,0,0,0,12
25,Circlet,DF_p,0,0,21,9,0,0,16,0,7,0,Circlet,CD_p,0,29,0,0,5,6,0,0,18,0
2,Circlet,HB_p,0,0,0,14,0,7,12,44,0,0,Circlet,CR_p,0,0,44,0,4,0,10,58,0,0
3,Circlet,HB_p,0,0,42,16,0,5,10,0,0,0,Circlet,AK_p,0,0,16,0,0,0,16,35,7,0
20,Circlet,HP_p,657,66,23,0,0,0,0,0,0,7,Circlet,HP_p,299,16,0,0,19,0,0,0,0,15
6,Circlet,AK_p,0,31,0,15,0,7,0,58,0,0,Circlet,AK_p,299,60,0,0,0,0,0,16,7,0
3,Circlet,HP_p,299,0,0,0,10,19,12,0,0,0,Circlet,EM_f,0,33,0,21,0,0,10,0,0,8
999,Circlet,AK_p,269,0,16,0,0,6,0,0,0,43,Feather,AK_f,0,0,0,20,0,5,0,40,0,8
3,Circlet,AK_p,0,0,42,10,0,13,10,0,0,0,Circlet,DF_p,478,0,0,0,0,0,18,16,6,0
2,Circlet,AK_p,568,31,0,0,0,6,0,58,0,0,Circlet,AK_p,687,0,0,0,0,0,11,56,4,0
2,Circlet,CR_p,239,82,16,12,0,0,0,0,0,0,Circlet,DF_p,0,0,76,0,0,0,11,40,4,0
19,Circlet,HP_p,0,37,0,0,16,0,0,0,4,13,Circlet,HP_p,0,19,0,0,0,0,11,0,14,7
0,Circlet,AK_p,508,33,35,12,0,0,0,0,0,0,Circlet,DF_p,986,18,23,0,0,0,0,0,7,0
1,Circlet,AK_p,269,0,0,0,0,12,23,0,0,5,Circlet,HP_p,209,0,0,0,0,18,0,37,0,21
48,Circlet,AK_p,0,0,44,0,0,7,9,0,9,0,Circlet,DF_p,0,35,0,0,9,0,10,0,7,0
7,Circlet,CD_p,0,0,62,9,0,11,0,0,5,0,Circlet,AK_p,299,0,44,0,0,16,0,0,9,0
17,Circlet,CD_p,538,33,23,0,15,0,0,0,0,0,Circlet,HP_p,0,18,46,0,20,12,0,0,0,0
1,Circlet,DF_p,269,0,0,0,10,0,12,0,0,19,Circlet,AK_p,269,0,16,0,0,19,0,0,14,0
0,Circlet,CR_p,687,54,23,0,0,0,0,33,0,0,Circlet,HP_p,747,0,35,0,5,0,0,42,0,0
36,Circlet,HP_p,448,35,0,0,13,0,6,0,0,0,Circlet,DF_p,418,18,39,0,0,0,0,0,10,0
4,Circlet,DF_p,0,33,37,0,6,0,0,63,0,0,Circlet,HB_p,0,0,23,0,21,0,0,35,4,0
6,Circlet,CD_p,0,0,21,11,5,25,0,0,0,0,Circlet,AK_p,0,0,37,0,0,14,0,61,0,8
10,Circlet,CD_p,299,29,0,19,0,0,0,19,0,0,Circlet,HP_p,687,0,0,0,5,0,5,0,0,21
999,Circlet,DF_p,0,0,21,5,0,0,0,0,9,21,Feather,AK_f,299,0,0,19,11,0,0,0,0,6
14,Circlet,CR_p,717,0,21,0,0,15,10,0,0,0,Circlet,AK_p,0,35,0,0,0,17,0,0,3,12
19,Circlet,AK_p,1046,19,0,4,0,0,10,0,0,0,Circlet,HP_p,717,27,0,0,10,12,0,0,0,0
21,Circlet,AK_p,448,0,19,0,0,27,0,0,0,12,Circlet,HP_p,269,0,86,0,0,0,0,0,7,8
23,Circlet,CR_p,0,53,60,4,0,0,0,0,0,6,Circlet,AK_p,299,47,0,0,0,0,0,51,4,0
23,Circlet,DF_p,0,31,0,16,5,0,0,0,0,12,Circlet,DF_p,0,27,37,0,10,0,0,0,0,14
3,Circlet,HP_p,448,31,0,0,16,0,0,23,0,0,Circlet,HP_p,0,0,0,0,10,0,5,79,7,0
2,Circlet,CD_p,0,35,86,11,0,0,0,16,0,0,Circlet,DF_p,777,33,0,0,0,0,0,47,3,0
5,Circlet,DF_p,508,0,74,0,0,0,5,0,0,7,Circlet,DF_p,0,0,42,0,6,0,11,0,10,0
62,Circlet,HB_p,478,29,46,0,0,0,0,0,9,0,Circlet,HB_p,0,33,0,9,0,0,0,19,10,0
9,Circlet,AK_p,299,33,51,0,0,0,0,37,0,0,Circlet,CR_p,0,0,19,10,14,14,0,0,0,0
19,Circlet,CD_p,239,53,0,11,0,0,0,35,0,0,Circlet,HP_p,478,51,0,0,0,0,0,0,4,15
6,Circlet,DF_p,568,14,62,0,10,0,0,0,0,0,Circlet,CR_p,0,27,0,0,0,21,10,0,0,6
17,Circlet,CR_p,239,14,74,0,0,0,12,0,0,0,Circlet,HP_p,747,0,19,0,0,12,0,0,0,13
18,Circlet,AK_p,0,35,21,0,0,0,15,63,0,0,Circlet,HP_p,0,0,39,0,0,12,6,0,0,18
43,Circlet,HP_p,0,0,49,0,11,6,0,0,7,0,Circlet,HP_p,568,0,42,0,4,0,0,0,11,0
58,Circlet,DF_p,0,37,0,0,4,0,0,44,9,0,Circlet,HP_p,538,14,0,0,0,0,0,19,0,29
16,Circlet,HP_p,568,0,0,0,0,0,5,68,7,0,Circlet,AK_p,0,29,0,0,0,0,6,0,10,20
233,Circlet,AK_p,777,19,0,0,0,0,0,0,9,6,Circlet,AK_p,598,0,0,0,0,0,0,35,7,12
1,Circlet,DF_p,508,68,0,0,4,0,0,0,0,7,Circlet,HP_p,478,0,58,0,10,0,0,0,7,0
0,Circlet,DF_p,508,0,21,0,0,0,5,82,0,0,Circlet,HP_p,0,16,0,0,13,12,0,0,7,0
22,Circlet,DF_p,0,49,44,10,0,0,0,0,0,5,Circlet,HB_p,508,0,21,0,0,0,0,0,14,5
12,Circlet,HP_p,0,0,35,0,10,0,0,21,10,0,Circlet,HP_p,0,31,0,0,10,7,0,0,13,0
45,Circlet,AK_p,0,0,37,10,0,0,10,0,10,0,Circlet,EM_f,0,14,0,0,0,26,0,0,3,16
13,Circlet,DF_p,0,47,19,0,0,0,12,0,0,15,Circlet,DF_p,0,35,0,0,0,0,0,65,10,5
3,Circlet,DF_p,0,33,0,0,4,0,16,42,0,0,Circlet,HP_p,0,35,21,0,0,0,16,0,0,12
3,Circlet,EM_f,0,49,0,0,0,7,15,0,3,0,Circlet,EM_f,209,0,42,0,0,0,16,0,0,15
1,Circlet,HB_p,0,0,0,0,6,0,28,19,0,5,Circlet,DF_p,0,0,0,4,0,0,6,56,10,0
2,Circlet,AK_p,1046,0,0,4,0,17,5,0,0,0,Circlet,DF_p,418,0,53,0,0,0,0,0,7,8
11,Circlet,AK_p,717,33,21,0,0,0,0,0,7,0,Circlet,DF_p,0,56,21,4,0,0,0,0,10,0
1,Circlet,CR_p,538,45,44,0,0,0,12,0,0,0,Circlet,CR_p,239,33,83,0,4,0,0,0,0,0
44,Circlet,AK_p,0,19,0,0,0,12,0,40,0,18,Circlet,HP_p,0,37,46,0,0,0,0,0,6,13
4,Circlet,AK_p,448,0,0,5,0,20,12,0,0,0,Circlet,CR_p,0,35,0,0,0,29,0,16,0,12
7,Circlet,DF_p,0,35,0,20,4,0,0,21,0,0,Circlet,AK_p,448,0,0,0,0,0,11,42,0,14
7,Circlet,DF_p,0,0,79,0,0,0,5,56,0,5,Circlet,HP_p,687,18,0,0,0,0,13,0,6,0
27,Circlet,HP_p,0,0,19,0,15,0,0,44,6,0,Circlet,HP_p,0,0,23,0,9,0,0,0,6,19
56,Circlet,AK_p,0,35,39,0,0,0,6,0,10,0,Circlet,HB_p,0,14,0,6,15,0,0,0,9,0
4,Circlet,CR_p,0,37,0,0,10,11,0,65,0,0,Circlet,CR_p,209,0,0,10,0,14,0,0,0,20
5,Circlet,AK_p,687,0,0,15,0,0,5,0,3,0,Circlet,AK_p,209,0,0,0,0,0,17,0,4,19
32,Circlet,AK_p,657,18,23,0,0,0,0,0,10,0,Circlet,AK_p,0,31,16,0,0,0,0,40,0,21
50,Circlet,DF_p,0,0,39,0,11,0,5,0,8,0,Circlet,CD_p,239,0,0,0,15,7,0,0,10,0
8,Circlet,HP_p,0,53,16,0,0,7,15,0,0,0,Circlet,AK_p,0,37,0,0,0,0,17,37,3,0
16,Circlet,CD_p,478,0,0,10,11,0,10,0,0,0,Circlet,DF_p,299,80,0,0,5,0,0,0,0,6
4,Circlet,AK_p,209,33,0,13,0,0,0,42,0,0,Circlet,DF_p,448,0,62,9,0,0,0,0,0,8
15,Circlet,AK_p,0,33,67,0,0,0,6,0,0,12,Circlet,AK_p,717,0,62,0,0,0,5,0,0,13
2,Circlet,DF_p,0,31,39,0,0,0,12,42,0,0,Circlet,DF_p,538,0,44,0,0,0,12,0,6,0
0,Circlet,AK_p,299,33,39,13,0,0,0,0,0,0,Circlet,HP_p,0,35,0,0,5,0,0,51,7,0
7,Circlet,CR_p,0,35,37,0,13,0,6,0,0,0,Circlet,DF_p,777,0,37,0,10,0,0,0,4,0
19,Circlet,HP_p,0,0,0,0,5,0,15,63,0,8,Circlet,HP_p,0,47,0,0,5,0,0,19,12,0
1,Circlet,DF_p,299,0,39,0,0,0,10,54,0,0,Circlet,HP_p,866,33,0,0,0,0,0,0,3,7
8,Circlet,HP_p,0,51,16,0,0,0,11,0,7,0,Circlet,DF_p,0,0,19,9,17,0,0,0,0,15
0,Circlet,CR_p,807,0,37,10,0,0,10,0,0,0,Circlet,CD_p,0,35,0,0,4,0,19,42,0,0
2,Circlet,CD_p,687,0,0,6,16,0,0,0,7,0,Circlet,DF_p,209,0,44,0,0,0,0,19,0,26
17,Circlet,HB_p,0,16,74,5,0,0,13,0,0,0,Circlet,DF_p,299,0,37,0,0,0,17,0,0,19
251,Circlet,HP_p,478,27,0,0,5,0,0,0,0,21,Circlet,DF_p,0,51,16,0,0,0,0,0,8,13
14,Circlet,HP_p,0,27,0,0,10,7,0,0,0,20,Circlet,HP_p,0,19,0,0,0,0,0,42,13,6
3,Circlet,CR_p,478,0,23,10,0,0,0,0,0,16,Circlet,CR_p,0,0,62,0,0,7,0,16,0,19
8,Circlet,EM_f,448,0,0,10,9,0,17,0,0,0,Circlet,HP_p,0,54,0,0,0,0,18,19,0,7
16,Circlet,DF_p,538,18,0,0,9,0,0,0,11,0,Circlet,HP_p,0,19,0,0,9,0,0,0,9,14
174,Circlet,DF_p,448,0,0,0,0,0,10,0,7,14,Circlet,DF_p,508,0,0,0,0,0,0,42,4,25
10,Circlet,DF_p,478,0,0,0,20,0,9,0,3,0,Circlet,HB_p,747,0,0,0,10,0,6,0,6,0
4,Circlet,CD_p,0,0,100,4,5,12,0,0,0,0,Circlet,HP_p,508,0,0,0,6,20,0,0,7,0
15,Circlet,HP_p,269,0,0,0,16,0,5,58,0,0,Circlet,HB_p,508,39,0,0,10,0,0,0,7,0
22,Circlet,DF_p,508,0,39,0,0,0,0,40,0,13,Circlet,DF_p,0,18,16,0,0,0,16,0,13,0
323,Circlet,AK_p,0,0,19,5,0,0,0,40,0,30,Circlet,HP_p,0,53,0,0,0,0,0,21,9,13
9,Circlet,HB_p,687,0,39,0,0,13,6,0,0,0,Circlet,HB_p,0,16,0,0,0,0,10,63,0,12
2,Circlet,DF_p,508,14,72,0,0,0,0,0,0,6,Circlet,DF_p,0,0,16,0,10,0,0,19,14,0
12,Circlet,HB_p,239,0,79,0,8,14,0,0,0,0,Circlet,AK_p,0,64,0,0,0,6,6,0,0,13
0,Circlet,DF_p,448,0,83,5,0,0,0,16,0,0,Circlet,CD_p,478,0,23,0,15,0,0,33,0,0
17,Circlet,CD_p,0,0,0,14,16,0,0,21,3,0,Circlet,DF_p,0,0,21,10,0,0,0,40,10,0
9,Circlet,AK_p,538,19,44,12,0,0,0,0,0,0,Circlet,AK_p,986,0,0,10,0,0,6,0,0,14
7,Circlet,AK_p,0,0,53,0,0,0,0,40,7,5,Circlet,HP_p,0,18,0,0,16,0,0,16,9,0
2,Circlet,CD_p,866,0,0,9,12,0,0,0,3,0,Circlet,CD_p,657,19,0,11,0,0,0,0,7,0
4,Circlet,DF_p,568,33,42,0,0,0,11,0,0,0,Circlet,HP_p,0,0,19,0,16,0,0,44,7,0
1,Circlet,DF_p,209,0,39,15,0,0,0,0,8,0,Circlet,AK_p,0,0,21,0,0,0,0,19,8,24
16,Circlet,HP_p,777,0,62,0,0,13,0,0,0,6,Circlet,AK_p,598,18,56,0,0,0,0,0,0,14
20,Circlet,CR_p,299,0,16,0,22,0,15,0,0,0,Circlet,HP_p,0,45,16,0,0,0,0,0,11,14
34,Circlet,HP_p,508,0,35,0,15,0,0,0,4,0,Circlet,AK_p,0,0,0,5,0,6,0,0,10,19
6,Circlet,DF_p,299,0,58,5,0,0,0,54,0,0,Circlet,HP_p,0,19,0,0,13,18,0,33,0,0
15,Circlet,CR_p,568,14,39,0,15,0,0,0,0,0,Circlet,AK_p,0,19,0,4,0,23,0,0,0,21
4,Circlet,AK_p,0,31,21,16,0,11,0,0,0,0,Circlet,DF_p,209,0,0,0,10,0,17,0,6,0
32,Circlet,DF_p,0,19,21,14,0,0,0,0,0,17,Circlet,HP_p,836,29,0,0,0,6,0,0,0,19
3,Circlet,AK_p,478,14,44,14,0,0,0,0,0,0,Circlet,DF_p,448,0,42,10,10,0,0,0,0,0
3,Circlet,HB_p,0,35,88,5,0,0,0,16,0,0,Circlet,AK_p,717,0,76,6,0,0,0,0,3,0
0,Circlet,DF_p,0,19,37,10,0,0,16,0,0,0,Circlet,DF_p,0,29,56,0,5,0,0,0,10,0
999,Circlet,EM_f,0,19,0,0,5,0,0,0,10,19,Goblet,HP_p,777,0,32,0,0,12,5,0,0,0
17,Circlet,HP_p,777,0,39,0,0,0,5,33,0,0,Circlet,HP_p,299,0,0,0,0,0,5,0,4,30
9,Circlet,HB_p,747,16,16,0,0,0,0,61,0,0,Circlet,CD_p,299,16,65,0,14,0,0,0,0,0
19,Circlet,CR_p,508,0,0,0,10,0,0,35,0,14,Circlet,CR_p,508,0,35,5,0,0,0,0,0,28
0,Circlet,HP_p,0,0,86,0,5,15,0,16,0,0,Circlet,CD_p,568,0,0,0,15,0,9,19,0,0
0,Circlet,CR_p,717,16,0,11,15,0,0,0,0,0,Circlet,CD_p,0,0,58,0,0,12,0,23,7,0
4,Circlet,HP_p,448,33,44,0,0,13,0,0,0,0,Circlet,HP_p,0,19,0,0,0,12,0,56,6,0
17,Circlet,CR_p,777,35,16,10,0,0,0,0,0,0,Circlet,AK_p,0,29,0,0,0,0,6,56,0,15
31,Circlet,DF_p,0,18,0,4,0,0,0,82,0,12,Circlet,HP_p,0,35,19,0,0,0,6,0,0,30
44,Circlet,AK_p,866,0,39,0,0,0,0,0,4,12,Circlet,AK_p,0,53,0,0,0,0,10,0,6,12
2,Circlet,CR_p,866,35,0,5,0,12,0,0,0,0,Circlet,CR_p,478,53,0,0,0,6,0,0,0,12
8,Circlet,HP_p,0,80,19,0,5,5,0,0,0,0,Circlet,HP_p,0,0,19,0,9,0,23,23,0,0
1,Circlet,DF_p,538,0,35,10,0,0,0,56,0,0,Circlet,AK_p,807,0,0,0,0,12,0,19,0,18
10,Circlet,HP_p,0,53,0,0,10,5,0,63,0,0,Circlet,AK_p,0,29,0,0,0,0,16,47,7,0
0,Circlet,CD_p,568,51,46,0,4,0,0,0,0,0,Circlet,CR_p,836,14,0,0,0,0,12,0,0,22
2,Circlet,HB_p,209,49,0,14,0,0,0,0,4,0,Circlet,EM_f,0,18,0,0,0,0,16,0,3,26
9,Circlet,DF_p,0,16,0,17,0,0,5,56,0,0,Circlet,HP_p,0,33,67,0,5,0,0,0,0,8
1,Circlet,HB_p,0,0,21,0,5,26,11,0,0,0,Circlet,AK_p,0,33,0,0,0,12,13,0,6,0
12,Circlet,AK_p,0,0,56,5,0,0,0,56,0,5,Circlet,CD_p,986,37,35,0,0,0,0,0,4,0
17,Circlet,DF_p,0,0,56,4,0,0,0,35,6,0,Circlet,DF_p,0,35,0,10,0,0,0,40,0,13
7,Circlet,AK_p,0,14,56,0,0,12,12,0,0,0,Circlet,HP_p,299,0,0,0,0,0,15,37,0,12
15,Circlet,DF_p,0,16,65,9,10,0,0,0,0,0,Circlet,HB_p,0,35,23,0,14,0,9,0,0,0
3,Circlet,HP_p,986,0,0,0,9,0,6,0,0,16,Circlet,AK_p,0,0,0,5,0,7,9,0,0,26
4,Circlet,AK_p,0,0,46,5,0,10,0,0,0,19,Circlet,HB_p,0,18,0,0,0,23,0,0,7,13
5,Circlet,CD_p,986,0,0,0,0,7,11,37,0,0,Circlet,AK_p,0,0,0,6,0,12,0,56,6,0
0,Circlet,CD_p,448,0,39,9,0,20,0,0,0,0,Circlet,DF_p,0,66,35,0,11,0,0,19,0,0
2,Circlet,CD_p,0,19,0,0,24,0,0,21,3,0,Circlet,HP_p,0,51,0,0,0,0,0,58,3,14
18,Circlet,DF_p,448,0,35,5,0,0,0,0,10,0,Circlet,DF_p,0,0,0,0,5,0,6,0,16,7
25,Circlet,CR_p,0,0,39,9,0,0,0,40,0,13,Circlet,HB_p,0,0,0,0,0,6,0,40,7,17
0,Circlet,AK_p,0,18,39,10,0,0,16,0,0,0,Circlet,HB_p,598,35,0,9,0,0,0,0,0,13
64,Circlet,AK_p,239,31,0,0,0,0,12,0,0,19,Circlet,HB_p,0,0,0,9,11,0,0,0,6,13
2,Circlet,DF_p,0,47,35,0,4,0,10,0,0,0,Circlet,HB_p,0,0,53,0,0,0,5,0,7,16
1,Circlet,DF_p,0,29,79,0,0,0,13,21,0,0,Circlet,EM_f,239,0,0,9,0,20,0,0,10,0
3,Circlet,HB_p,478,0,37,0,0,0,0,0,7,15,Circlet,HP_p,0,0,19,0,0,20,0,0,3,28
17,Circlet,CD_p,0,0,0,0,10,18,11,21,0,0,Circlet,DF_p,1195,0,0,0,0,0,5,23,0,11
10,Circlet,CR_p,568,51,0,0,10,0,0,0,0,8,Circlet,HP_p,807,16,35,0,0,0,0,0,7,0
3,Circlet,DF_p,0,43,37,0,5,0,18,0,0,0,Circlet,HP_p,807,0,0,0,0,10,0,40,7,0
10,Circlet,HP_p,448,0,37,0,0,0,11,0,7,0,Circlet,HP_p,508,0,39,0,0,0,0,0,3,23
999,Circlet,DF_p,0,51,0,5,0,0,0,0,7,22,Timepiece,HP_p,0,0,0,0,0,0,6,23,12,12
8,Circlet,DF_p,508,33,42,0,0,0,10,0,0,0,Circlet,DF_p,0,39,0,4,9,0,16,0,0,0
15,Circlet,AK_p,0,53,0,0,0,0,16,23,3,0,Circlet,AK_p,0,18,16,0,0,13,0,0,0,27
12,Circlet,CR_p,239,0,44,0,0,0,0,54,0,15,Circlet,HB_p,1165,14,0,0,5,0,0,0,9,0
6,Circlet,DF_p,508,16,0,0,0,0,17,44,0,0,Circlet,DF_p,269,0,0,0,0,0,15,40,0,21
181,Circlet,HP_p,508,16,0,0,0,0,0,0,7,20,Circlet,HB_p,478,0,0,0,0,0,0,16,3,30
5,Circlet,HP_p,239,27,39,0,0,0,17,0,0,0,Circlet,DF_p,0,62,42,0,4,0,11,0,0,0
4,Circlet,HP_p,0,18,35,0,0,0,19,0,0,8,Circlet,CD_p,0,33,46,9,0,0,0,0,6,0
47,Circlet,AK_p,0,0,42,0,0,5,11,0,10,0,Circlet,HP_p,0,51,0,0,0,5,0,0,3,19
197,Circlet,HP_p,0,0,0,0,0,0,6,37,4,26,Circlet,HB_p,0,0,0,0,13,0,0,19,7,16
929,Circlet,AK_p,299,0,0,0,0,6,5,0,17,0,Circlet,EM_f,239,0,0,0,0,12,0,0,10,15
3,Circlet,CD_p,448,31,0,9,0,0,0,0,7,0,Circlet,HP_p,0,14,44,0,17,0,0,0,6,0
23,Circlet,EM_f,0,0,0,5,16,0,17,0,0,8,Circlet,AK_p,0,0,16,0,0,14,12,0,10,0
7,Circlet,CD_p,0,19,83,0,5,0,0,35,0,0,Circlet,AK_p,0,19,0,0,0,10,0,37,0,18
6,Circlet,DF_p,568,0,0,0,0,0,5,72,0,6,Circlet,AK_p,0,33,42,11,0,0,0,0,7,0
20,Circlet,EM_f,538,0,42,5,15,0,0,0,0,0,Circlet,HB_p,0,0,0,0,0,16,0,21,6,15
7,Circlet,DF_p,538,31,0,10,0,0,0,35,0,0,Circlet,AK_p,0,33,0,0,0,7,0,56,0,19
19,Circlet,DF_p,239,0,32,0,0,0,0,61,7,0,Circlet,HP_p,0,0,0,0,0,0,16,33,4,19
13,Circlet,HP_p,538,0,35,0,0,5,19,0,0,0,Circlet,DF_p,0,0,39,10,5,0,17,0,0,0
5,Circlet,CD_p,239,29,44,0,0,25,0,0,0,0,Circlet,HP_p,0,35,0,0,5,0,0,58,0,12
3,Circlet,HP_p,0,68,37,0,5,7,0,0,0,0,Circlet,CR_p,239,27,0,0,10,0,0,58,0,0
81,Circlet,AK_p,299,0,0,0,0,0,0,86,10,7,Circlet,HP_p,209,0,21,0,0,0,0,0,10,31
3,Circlet,HP_p,568,33,32,0,0,0,11,0,0,0,Circlet,HP_p,508,0,23,0,0,20,0,0,10,0
0,Circlet,DF_p,0,14,35,0,0,0,19,61,0,0,Circlet,CD_p,478,0,35,0,5,0,0,0,10,0
9,Circlet,AK_p,0,14,0,5,0,21,18,0,0,0,Circlet,HP_p,0,58,0,0,5,0,0,0,6,21
59,Circlet,CD_p,269,0,53,4,0,0,0,0,11,0,Circlet,HB_p,269,0,37,0,0,0,10,0,13,0
8,Circlet,AK_p,836,0,35,0,0,7,0,40,0,0,Circlet,DF_p,0,35,0,9,15,0,0,16,0,0
70,Circlet,AK_p,269,0,0,0,0,22,0,0,8,6,Circlet,HP_p,478,0,0,0,10,0,6,0,0,19
10,Circlet,HB_p,747,0,37,0,0,0,6,0,9,0,Circlet,AK_p,0,0,16,0,0,13,0,0,13,8
5,Circlet,AK_p,0,18,62,0,0,5,0,0,11,0,Circlet,EM_f,0,0,42,0,11,0,0,0,4,19
2,Circlet,DF_p,269,68,0,15,0,0,6,0,0,0,Circlet,CD_p,0,33,39,9,11,0,0,0,0,0
6,Circlet,AK_p,0,33,46,9,0,0,0,44,0,0,Circlet,HP_p,0,18,0,0,0,0,12,37,0,19
33,Circlet,HP_p,0,0,42,0,10,0,0,23,10,0,Circlet,HP_p,209,0,0,0,0,6,12,0,13,0
282,Circlet,HP_p,0,0,37,0,0,0,0,19,7,19,Circlet,DF_p,0,0,37,0,0,0,0,16,10,14
2,Circlet,DF_p,538,31,0,0,15,0,0,19,0,0,Circlet,DF_p,0,0,0,0,19,0,10,0,4,12
3,Circlet,DF_p,508,0,53,16,6,0,0,0,0,0,Circlet,CD_p,568,0,0,0,8,0,10,65,0,0
24,Circlet,CR_p,657,0,0,0,0,7,13,0,0,12,Circlet,DF_p,0,0,60,0,6,0,0,37,7,0
2,Circlet,DF_p,747,33,35,0,0,0,0,21,0,0,Circlet,DF_p,0,0,16,0,5,0,0,56,0,20
147,Circlet,DF_p,0,0,21,0,0,0,0,47,9,19,Circlet,DF_p,0,27,0,0,0,0,0,23,6,26
1,Circlet,DF_p,747,0,23,0,0,0,19,16,0,0,Circlet,DF_p,0,53,0,14,10,0,6,0,0,0
35,Circlet,AK_p,0,18,0,16,0,0,0,35,0,19,Circlet,HP_p,0,0,0,0,9,7,0,40,10,0
23,Circlet,AK_p,0,56,21,10,0,0,0,0,6,0,Circlet,HP_p,0,16,37,0,0,0,6,0,0,26
2,Circlet,DF_p,0,16,0,0,15,0,0,42,5,0,Circlet,DF_p,0,0,21,0,4,0,16,0,10,0
2,Circlet,AK_p,299,14,0,19,0,0,0,0,0,13,Circlet,HP_p,239,0,0,0,0,14,11,0,0,24
22,Circlet,AK_p,0,0,0,0,0,13,11,0,4,16,Circlet,DF_p,0,19,16,0,0,0,0,19,19,0
51,Circlet,HP_p,448,0,37,0,0,0,0,0,10,7,Circlet,HB_p,0,14,21,0,0,12,0,0,0,30
0,Circlet,HP_p,0,0,0,0,11,0,0,79,3,6,Circlet,HP_p,807,0,0,0,0,0,12,19,0,19
4,Circlet,HP_p,269,49,39,0,0,0,11,0,0,0,Circlet,CR_p,269,54,0,0,10,10,0,0,0,0
6,Circlet,HB_p,747,54,16,0,0,0,0,23,0,0,Circlet,DF_p,209,33,23,0,19,0,0,0,0,0
24,Circlet,AK_p,0,18,79,0,0,0,0,0,3,14,Circlet,AK_p,687,27,0,0,0,0,0,0,8,12
16,Circlet,HP_p,0,35,39,0,0,0,0,37,0,12,Circlet,HP_p,0,53,0,0,15,6,0,0,0,5
3,Circlet,DF_p,836,49,0,6,0,0,5,0,0,0,Circlet,CR_p,717,0,0,0,10,13,0,0,0,8
0,Circlet,CR_p,568,0,35,0,0,0,12,0,0,13,Circlet,AK_p,0,35,0,9,0,0,0,0,3,22
69,Circlet,HP_p,0,0,0,0,11,11,0,0,6,12,Circlet,HP_p,239,29,0,0,0,12,0,0,15,0
0,Circlet,DF_p,478,0,42,10,0,0,12,0,0,0,Circlet,HP_p,0,45,16,0,15,0,0,0,0,15
6,Circlet,HP_p,568,29,19,0,16,0,0,0,0,0,Circlet,DF_p,0,51,37,0,0,0,0,16,0,13
1,Circlet,EM_f,418,16,0,0,10,20,0,0,0,0,Circlet,HP_p,239,0,56,0,0,13,0,0,6,0
161,Circlet,AK_p,269,0,0,0,0,0,0,56,4,28,Circlet,HP_p,0,0,0,0,15,0,0,16,13,8
28,Circlet,AK_p,0,0,42,15,0,0,0,23,6,0,Circlet,HP_p,508,0,0,0,0,0,10,21,0,19
20,Circlet,DF_p,747,33,0,0,0,0,16,0,3,0,Circlet,AK_p,269,0,35,0,0,12,0,0,10,0
12,Circlet,CD_p,269,35,0,0,0,6,0,75,0,0,Circlet,DF_p,657,0,62,0,9,0,0,23,0,0
6,Circlet,HP_p,209,0,0,0,0,22,0,56,3,0,Circlet,CR_p,538,0,42,15,0,0,0,0,0,12
2,Circlet,AK_p,0,0,39,5,0,0,21,0,0,13,Circlet,HP_p,0,0,56,0,10,15,0,0,0,12
2,Circlet,AK_p,538,0,46,0,0,16,0,0,0,5,Circlet,AK_p,0,39,16,0,0,19,0,0,0,12
